F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
-187500,-187500,-187500,-64621.06,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11570,
-187500,-187500,-187500,-63806.65,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11571,
-187500,-187500,-187500,-63304.81,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11572,
-187500,-187500,-187500,-63333.91,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11573,
-187500,-187500,-187500,-63541.47,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11574,
-157646.6,-157286.5,-157888.9,-37545.59,-157557.4,-157128.5,-157527.9,-157209.7,0,0,0,0,0,0,0,0,0,11575,
113351.7,113872.3,113172.1,71975.27,113576.6,114377.2,113549.2,114165.6,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11576,
187500,187500,187500,104532.3,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11577,
187500,187500,187500,104991.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11578,
187500,187500,187500,103923.3,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11579,
187500,187500,187500,103080.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11580,
187500,187500,187500,102427,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11581,
187500,187500,187500,101968.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11582,
187500,187500,187500,102047,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11583,
187500,187500,187500,102536.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11584,
187500,187500,187500,103146.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11585,
187500,187500,187500,103380.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11586,
187500,187500,187500,104446,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11587,
187500,187500,187500,105370.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11588,
187500,187500,187500,106853.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11589,
187500,187500,187500,107895.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11590,
160443.2,159913.2,160606.6,82525.45,160234.2,159718.6,160287.1,159833.6,0,0,0,0,0,0,0,0,0,11591,
-109548.4,-110321.9,-109448.1,-28196.19,-109987.2,-110901,-109896.3,-110761.8,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11592,
-187500,-187500,-187500,-61308.2,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11593,
-187500,-187500,-187500,-62498.34,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11594,
-187500,-187500,-187500,-63136.35,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11595,
-187500,-187500,-187500,-64397.63,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11596,
-187500,-187500,-187500,-65554.88,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11597,
-187500,-187500,-187500,-66307.48,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11598,
-187500,-187500,-187500,-67742.64,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11599,
-187500,-187500,-187500,-68844.63,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11600,
-187500,-187500,-187500,-69681.72,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11601,
-187500,-187500,-187500,-70270.82,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11602,
-187500,-187500,-187500,-70329.67,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11603,
-187500,-187500,-187500,-69950.77,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11604,
-187500,-187500,-187500,-69382.81,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11605,
-187500,-187500,-187500,-69232.9,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,11606,
-157786.1,-157410.2,-158032.6,-41898.34,-157689.4,-157245.6,-157660.2,-157323.1,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11607,
113320.6,113865.6,113129.7,69607.16,113557.8,114379.5,113529.1,114174.1,0,0,0,0,0,0,0,0,0,11608,
187500,187500,187500,104593.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11609,
187500,187500,187500,106790.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11610,
187500,187500,187500,107960.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11611,
187500,187500,187500,108741.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11612,
187500,187500,187500,108920.3,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11613,
187500,187500,187500,108854.9,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11614,
187500,187500,187500,108674.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,11615,
