F3,FZ,F4,FCZ,C3,Cz,C4,P3,Pz,P4,PO7,POz,PO8,O1,Oz,O2,LABEL,
-187500,-187500,-187500,-43347.03,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20137,
-187500,-187500,-187500,-44611.87,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20138,
-187500,-187500,-187500,-45692.93,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20139,
-187500,-187500,-187500,-46363.04,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20140,
-187500,-187500,-187500,-46469.88,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20141,
-187500,-187500,-187500,-45968.11,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20142,
-187500,-187500,-187500,-45494.94,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20143,
-187500,-187500,-187500,-45209.51,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20144,
-187500,-187500,-187500,-43959.96,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20145,
-187500,-187500,-187500,-42889.69,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20146,
-187500,-187500,-187500,-41125.69,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20147,
-187500,-187500,-187500,-39820.48,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20148,
-187500,-187500,-187500,-38717.29,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20149,
-187500,-187500,-187500,-38010.46,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20150,
-187500,-187500,-187500,-37881.78,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20151,
-187500,-187500,-187500,-37957.98,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20152,
-187500,-187500,-187500,-38384.58,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20153,
-187500,-187500,-187500,-39613.82,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20154,
-187500,-187500,-187500,-40767.88,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20155,
-187500,-187500,-187500,-41649.05,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20156,
-187500,-187500,-187500,-43360.2,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20157,
-187500,-187500,-187500,-44668.44,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20158,
-187500,-187500,-187500,-45763.36,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20159,
-187500,-187500,-187500,-46470.37,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20160,
-187500,-187500,-187500,-46591.79,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20161,
-187500,-187500,-187500,-46112.81,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20162,
-187500,-187500,-187500,-45616.49,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20163,
-187500,-187500,-187500,-45390.27,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20164,
-187500,-187500,-187500,-44152.72,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20165,
-187500,-187500,-187500,-43096.33,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20166,
-187500,-187500,-187500,-41338.97,-187500,-187500,-187500,-187500,0,0,0,0,0,0,0,0,0,20167,
-157436.9,-157062.4,-157689.8,-15200.86,-157337.5,-156894.1,-157305.7,-156961.1,0,0,0,0,0,0,0,0,0,20168,
113707.8,114246.8,113513.2,89338.38,113942.7,114762.1,113922,114583.4,0,0,0,0,0,0,0,0,0,20169,
187500,187500,187500,121013.3,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20170,
187500,187500,187500,122158.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20171,
187500,187500,187500,122385.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20172,
187500,187500,187500,122170.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20173,
187500,187500,187500,121073.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20174,
187500,187500,187500,119972.5,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20175,
187500,187500,187500,119193.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20176,
187500,187500,187500,117559.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20177,
187500,187500,187500,116258.8,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20178,
187500,187500,187500,115202.7,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20179,
187500,187500,187500,114503.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20180,
187500,187500,187500,114379.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20181,
187500,187500,187500,114850.1,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20182,
187500,187500,187500,115416.6,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20183,
187500,187500,187500,115635.2,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20184,
187500,187500,187500,116878.4,187500,187500,187500,187500,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,-0.02235174,0,20185,
